Date,Open,High,Low,Close,Volume,Date_year,Date_month,Date_day,Date_day_of_week,Open_x_High,Open_x_Low,High_x_Low,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled
1980-12-12,0.128348,0.128906,0.128348,0.128348,469033600,1980,12,12,4,0.016544827287999997,0.016473209104,0.016544827287999997,-0.6543541489004036,-0.6547938630430673,-0.653914897492721,-0.6543946640807161,0.7051276905975551
1980-12-15,0.12221,0.12221,0.121652,0.121652,175884800,1980,12,15,0,0.0149352841,0.01486709092,0.01486709092,-0.6548374345817817,-0.6553161151821861,-0.6544479934145376,-0.6549221892078547,-0.5398799801547822
1980-12-16,0.113281,0.113281,0.112723,0.112723,105728000,1980,12,16,1,0.012832584961000001,0.012769374163,0.012769374163,-0.6555404743095472,-0.6560125293623225,-0.6551588675910457,-0.655625634826167,-0.8378370386705857
1980-12-17,0.115513,0.116071,0.115513,0.115513,86441600,1980,12,17,2,0.013407709423,0.013343253169,0.013407709423,-0.6553647340617734,-0.6557949243043564,-0.6549367442902889,-0.6554058326898593,-0.919746689814298
1980-12-18,0.118862,0.11942,0.118862,0.118862,73449600,1980,12,18,3,0.014194500039999999,0.014128175044,0.014194500039999999,-0.6551010449534425,-0.6555337202401524,-0.6546701167152944,-0.6551419913441624,-0.9749239228727801
1980-12-19,0.126116,0.126674,0.126116,0.126116,48630400,1980,12,19,4,0.015975618184000003,0.015905245456,0.015975618184000003,-0.6545298891481776,-0.6549679470894403,-0.6540925961333266,-0.6545705057897623,-1.08033146464657
1980-12-22,0.132254,0.132813,0.132254,0.132254,37363200,1980,12,22,0,0.017565050502,0.017491120516000002,0.017565050502,-0.6540466034667994,-0.6544891379672702,-0.6536039248716615,-0.6540869410898853,-1.1281834443507364
1980-12-23,0.137835,0.138393,0.137835,0.137835,46950400,1980,12,23,1,0.019075399155,0.018998487225000003,0.019075399155,-0.6536071741106946,-0.6540539278513378,-0.6531595986560614,-0.6536472580351421,-1.0874664516799946
1980-12-24,0.145089,0.145647,0.145089,0.145089,48003200,1980,12,24,2,0.021131777583,0.021050817920999998,0.021131777583,-0.6530360183054296,-0.6534881547006256,-0.6525820780740936,-0.653075772480742,-1.0829951931390485
1980-12-26,0.158482,0.15904,0.158482,0.158482,55574400,1980,12,26,4,0.02520497728,0.025116544324000005,0.02520497728,-0.6519814980821165,-0.6524435724277434,-0.6515158066163745,-0.6520206434443374,-1.050840184908416
1980-12-29,0.160714,0.161272,0.160714,0.160714,93161600,1980,12,29,0,0.025918668207999998,0.025828989796,0.025918668207999998,-0.6518057578343425,-0.6522694883813703,-0.651338107975769,-0.6518448017352911,-0.8912067416806003
1980-12-30,0.157366,0.157366,0.156808,0.156808,68880000,1980,12,30,1,0.024764057956,0.024676247728000002,0.024676247728000002,-0.6520693682060034,-0.6525741354625231,-0.6516490805968286,-0.652152524726122,-0.9943310876036945
